Peak at 793: A = (5.61+/-0.08)e+03, mu = 791.54+/-0.10, sigma = 6.99+/-0.09
Peak at 2685: A = 846+/-29, mu = 2685.45+/-0.26, sigma = 7.37+/-0.20
Peak at 2940: A = (1.88+/-0.04)e+03, mu = 2941.44+/-0.16, sigma = 6.78+/-0.11
Peak at 3458: A = (5.20+/-0.07)e+03, mu = 3456.54+/-0.11, sigma = 7.53+/-0.08
Peak at 3730: A = 641+/-27, mu = 3726.82+/-0.34, sigma = 7.02+/-0.30
Peak at 793: A = (5.61+/-0.08)e+03, mu = 791.54+/-0.10, sigma = 6.99+/-0.09, Inhalt:5580.536937037902
Peak at 2685: A = 846+/-29, mu = 2685.45+/-0.26, sigma = 7.37+/-0.20, Inhalt:839.0030383156169
Peak at 2940: A = (1.88+/-0.04)e+03, mu = 2941.44+/-0.16, sigma = 6.78+/-0.11, Inhalt:1868.217984644541
Peak at 3458: A = (5.20+/-0.07)e+03, mu = 3456.54+/-0.11, sigma = 7.53+/-0.08, Inhalt:5142.752649460566
Peak at 3730: A = 641+/-27, mu = 3726.82+/-0.34, sigma = 7.02+/-0.30, Inhalt:607.0061981689814
 Peak at 793: A = (5.61+/-0.08)e+03, mu = 791.54+/-0.10, sigma = 6.99+/-0.09, Inhalt:5580.536937037902
Peak at 2685: A = 846+/-29, mu = 2685.45+/-0.26, sigma = 7.37+/-0.20, Inhalt:839.0030383156169
Peak at 2940: A = (1.88+/-0.04)e+03, mu = 2941.44+/-0.16, sigma = 6.78+/-0.11, Inhalt:1868.217984644541
Peak at 3458: A = (5.20+/-0.07)e+03, mu = 3456.54+/-0.11, sigma = 7.53+/-0.08, Inhalt:5142.752649460566
Peak at 3730: A = 641+/-27, mu = 3726.82+/-0.34, sigma = 7.02+/-0.30, Inhalt:607.0061981689814
 Peak at 793: A = (5.61+/-0.08)e+03, mu = 791.54+/-0.10, sigma = 6.99+/-0.09, Inhalt:5580.536937037902
Peak at 2685: A = 846+/-29, mu = 2685.45+/-0.26, sigma = 7.37+/-0.20, Inhalt:839.0030383156169
Peak at 2940: A = (1.88+/-0.04)e+03, mu = 2941.44+/-0.16, sigma = 6.78+/-0.11, Inhalt:1868.217984644541
Peak at 3458: A = (5.20+/-0.07)e+03, mu = 3456.54+/-0.11, sigma = 7.53+/-0.08, Inhalt:5142.752649460566
Peak at 3730: A = 641+/-27, mu = 3726.82+/-0.34, sigma = 7.02+/-0.30, Inhalt:607.0061981689814
 Peak at 793: A = (5.61+/-0.08)e+03, mu = 791.54+/-0.10, sigma = 6.99+/-0.09, Inhalt:5580.536937037902
Peak at 2685: A = 846+/-29, mu = 2685.45+/-0.26, sigma = 7.37+/-0.20, Inhalt:839.0030383156169
Peak at 2940: A = (1.88+/-0.04)e+03, mu = 2941.44+/-0.16, sigma = 6.78+/-0.11, Inhalt:1868.217984644541
Peak at 3458: A = (5.20+/-0.07)e+03, mu = 3456.54+/-0.11, sigma = 7.53+/-0.08, Inhalt:5142.752649460566
Peak at 3730: A = 641+/-27, mu = 3726.82+/-0.34, sigma = 7.02+/-0.30, Inhalt:607.0061981689814
 Peak at 793: A = (5.61+/-0.08)e+03, mu = 791.54+/-0.10, sigma = 6.99+/-0.09, Inhalt:5580.536937037902
Peak at 2685: A = 846+/-29, mu = 2685.45+/-0.26, sigma = 7.37+/-0.20, Inhalt:839.0030383156169
Peak at 2940: A = (1.88+/-0.04)e+03, mu = 2941.44+/-0.16, sigma = 6.78+/-0.11, Inhalt:1868.217984644541
Peak at 3458: A = (5.20+/-0.07)e+03, mu = 3456.54+/-0.11, sigma = 7.53+/-0.08, Inhalt:5142.752649460566
Peak at 3730: A = 641+/-27, mu = 3726.82+/-0.34, sigma = 7.02+/-0.30, Inhalt:607.0061981689814
 Peak at 793: A = (5.61+/-0.08)e+03, mu = 791.54+/-0.10, sigma = 6.99+/-0.09, Inhalt:5580.536937037902
Peak at 2685: A = 846+/-29, mu = 2685.45+/-0.26, sigma = 7.37+/-0.20, Inhalt:839.0030383156169
Peak at 2940: A = (1.88+/-0.04)e+03, mu = 2941.44+/-0.16, sigma = 6.78+/-0.11, Inhalt:1868.217984644541
Peak at 3458: A = (5.20+/-0.07)e+03, mu = 3456.54+/-0.11, sigma = 7.53+/-0.08, Inhalt:5142.752649460566
Peak at 3730: A = 641+/-27, mu = 3726.82+/-0.34, sigma = 7.02+/-0.30, Inhalt:607.0061981689814
 Peak at 793: A = (5.61+/-0.08)e+03, mu = 791.54+/-0.10, sigma = 6.99+/-0.09, Inhalt:5580.536937037902
Peak at 2685: A = 846+/-29, mu = 2685.45+/-0.26, sigma = 7.37+/-0.20, Inhalt:839.0030383156169
Peak at 2940: A = (1.88+/-0.04)e+03, mu = 2941.44+/-0.16, sigma = 6.78+/-0.11, Inhalt:1868.217984644541
Peak at 3458: A = (5.20+/-0.07)e+03, mu = 3456.54+/-0.11, sigma = 7.53+/-0.08, Inhalt:5142.752649460566
Peak at 3730: A = 641+/-27, mu = 3726.82+/-0.34, sigma = 7.02+/-0.30, Inhalt:607.0061981689814
 Peak at 793: A = (5.61+/-0.08)e+03, mu = 791.54+/-0.10, sigma = 6.99+/-0.09, Inhalt:5580.536937037902
Peak at 2685: A = 846+/-29, mu = 2685.45+/-0.26, sigma = 7.37+/-0.20, Inhalt:839.0030383156169
Peak at 2940: A = (1.88+/-0.04)e+03, mu = 2941.44+/-0.16, sigma = 6.78+/-0.11, Inhalt:1868.217984644541
Peak at 3458: A = (5.20+/-0.07)e+03, mu = 3456.54+/-0.11, sigma = 7.53+/-0.08, Inhalt:5142.752649460566
